idPerson,FIRST_NAME,MIDDLE INITIAL,LAST_NAME,UTC_TIMEZONE,EMAIL,PHONE NUMBER,PLATFORM_A_CONVO_COUNT,PLATFORM_B_CONVO_COUNT,PLATFORM_C_CONVO_COUNT
719461,Petronila,Y,Blanken,UTC -8,Petronila.Y.Blanken@gmail.com,(+9)(246)-680-4734,0,0,0
189706,Petrina,N,Houseman,UTC 12,Petrina.N.Houseman@gmail.com,9980997530,0,0,0
617392,Lia,A,Muckey,UTC -5,Lia.A.Muckey@gmail.com,133-493-0171,0,0,0
73251,Tameika,f,Hillaire,UTC -11,Tameika.f.Hillaire@gmail.com,9603394830,0,0,0
526099,Modesta,y,Gaer,UTC -5,Modesta.y.Gaer@gmail.com,(186)-462-5440,0,0,0
841017,Kyong,d,Gottleber,UTC 5,Kyong.d.Gottleber@gmail.com,+1688-170-7958,0,0,0
477585,Hae,e,Scherrer,UTC -8,Hae.e.Scherrer@gmail.com,(396)1633045,0,0,0
731304,Shayla,p,Sickafoose,UTC -10,Shayla.p.Sickafoose@gmail.com,892-152-832,0,0,0
347656,Shayne,g,Crumlish,UTC 4,Shayne.g.Crumlish@gmail.com,(672)3573213,0,0,0
901963,Hugh,j,Lammers,UTC 9,Hugh.j.Lammers@gmail.com,6597119649,0,0,0
73910,Ruthe,b,Gionson,UTC -1,Ruthe.b.Gionson@gmail.com,(256)-282-0388,0,0,0
49206,Bianca,O,Tabeling,UTC -7,Bianca.O.Tabeling@gmail.com,(+18)(386)-383-0014,0,0,0
326023,Vernell,n,Delhomme,UTC -4,Vernell.n.Delhomme@gmail.com,+56(378)1240860,0,0,0
729154,Lura,h,Nacar,UTC -9,Lura.h.Nacar@gmail.com,(222)591646,0,0,0
813491,Patty,u,Dunzelman,UTC -5,Patty.u.Dunzelman@gmail.com,+64(693)3547540,0,0,0
994818,Shakita,B,Bussard,UTC 1,Shakita.B.Bussard@gmail.com,(+47)(681)-609-7225,0,0,0
117183,Krystin,f,Tarazon,UTC 0,Krystin.f.Tarazon@gmail.com,507-081-3790,0,0,0
485337,Kenyetta,j,Stupak,UTC 3,Kenyetta.j.Stupak@gmail.com,(682)4524314,0,0,0
881369,Maryellen,n,Snethen,UTC 1,Maryellen.n.Snethen@gmail.com,1634392949,0,0,0
65013,Erich,G,Ogas,UTC 2,Erich.G.Ogas@gmail.com,4505228276,0,0,0
912871,Angelia,c,Gonsoulin,UTC -10,Angelia.c.Gonsoulin@gmail.com,(849)8567445,0,0,0
495701,Lesley,Z,Scavo,UTC -11,Lesley.Z.Scavo@gmail.com,+13421309231,0,0,0
718125,Asia,D,Cronce,UTC -11,Asia.D.Cronce@gmail.com,420813690,0,0,0
19609,Dirk,q,Guyott,UTC 8,Dirk.q.Guyott@gmail.com,+1(125)4268743,0,0,0
928209,Catarina,Q,Stowbridge,UTC -4,Catarina.Q.Stowbridge@gmail.com,+17242507930,0,0,0
930225,Krystina,h,Schroeder,UTC -11,Krystina.h.Schroeder@gmail.com,(860)9404932,0,0,0
585779,Genna,E,Deromer,UTC 5,Genna.E.Deromer@gmail.com,(227)-026-4293,0,0,0
51113,Carita,q,Lawwill,UTC -10,Carita.q.Lawwill@gmail.com,(+84)(536)-337-8970,0,0,0
200613,Walton,u,Diogo,UTC -9,Walton.u.Diogo@gmail.com,(644)-677-3786,0,0,0
6196,Maria,O,Shain,UTC -12,Maria.O.Shain@gmail.com,+291957884743,0,0,0
115720,Creola,U,Ort,UTC -4,Creola.U.Ort@gmail.com,774-144-4240,0,0,0
930991,Golda,P,Mcdonnall,UTC -7,Golda.P.Mcdonnall@gmail.com,470-161-4021,0,0,0
330528,Jean,F,Bagheri,UTC 5,Jean.F.Bagheri@gmail.com,(734)224605,0,0,0
346555,Erick,Q,Aho,UTC 12,Erick.Q.Aho@gmail.com,+609972544864,0,0,0
383738,Tiffanie,e,Dooling,UTC 9,Tiffanie.e.Dooling@gmail.com,8837159347,0,0,0
918860,Tanya,S,Osterdyk,UTC 5,Tanya.S.Osterdyk@gmail.com,(196)-230-1106,0,0,0
626079,Tera,x,Hartly,UTC 0,Tera.x.Hartly@gmail.com,(745)-748-3,0,0,0
803667,Eugene,b,Lapham,UTC -2,Eugene.b.Lapham@gmail.com,3928325372,0,0,0
876312,Jerold,c,Lipszyc,UTC -3,Jerold.c.Lipszyc@gmail.com,(329)0420369,0,0,0
